operation,selection,amplitude_v,pulse_width_ns,avg_switch_latency_ns,worst_switch_latency_ns,avg_total_energy_j,avg_energy_per_gate_j
NOR,fastest,-2.2,0.01,0.0929905805,0.0934251828,2.606178186e-15,1.303089093e-15
NOR,lowest_energy,-2.2,0.01,0.0929905805,0.0934251828,2.606178186e-15,1.303089093e-15
NOT,fastest,-2.2,0.01,0.0934288069,0.0934288069,1.902874326e-15,9.514371632e-16
NOT,lowest_energy,-2.2,0.01,0.0934288069,0.0934288069,1.902874326e-15,9.514371632e-16
AND,fastest,3.0,0.01,0.0967010537,0.0967010537,3.635068129e-15,1.8175340650000002e-15
AND,lowest_energy,2.7,0.015,0.108494335,0.108494349,1.7245142709999998e-16,8.622571356999999e-17
SET,fastest,-3.0,0.01,0.0249376904,0.0249376904,3.1661413120000002e-15,3.1661413120000002e-15
SET,lowest_energy,-2.6,0.04,0.0422972819,0.0422972819,1.1310891289999998e-16,1.1310891289999998e-16
RESET,fastest,3.0,0.01,0.0187502035,0.0187502035,3.6395648759999995e-16,3.6395648759999995e-16
RESET,lowest_energy,3.0,0.01,0.0187502035,0.0187502035,3.6395648759999995e-16,3.6395648759999995e-16
